direction,entry_price,exit_price,volume,sl,tp,pnl,exit_reason,confidence,holding_bars,entry_time,exit_time
SELL,1.14612,1.14712,0.01,1.14712,1.14412,-0.0,SL,0.666,4,2026-06-18 14:15,2026-06-18 15:15
SELL,1.14694,1.14794,0.01,1.14794,1.14534,-0.0,SL,0.6015,5,2026-06-18 15:15,2026-06-18 16:30
SELL,1.14854,1.14694,0.01,1.14954,1.14694,0.0,TP,0.5649,4,2026-06-18 17:45,2026-06-18 18:45
SELL,1.1466,1.1446,0.01,1.1476,1.1446,0.0,TP,0.7001,45,2026-06-18 19:00,2026-06-19 06:15
BUY,1.14449,1.14392,0.01,1.14392,1.14563,-0.0,SL,0.7,2,2026-06-19 06:30,2026-06-19 07:00
BUY,1.14385,1.14327,0.01,1.14327,1.14478,-0.0,SL,0.4567,2,2026-06-19 07:15,2026-06-19 07:45
SELL,1.14238,1.1431,0.01,1.1431,1.14094,-0.0,SL,0.7003,3,2026-06-19 08:00,2026-06-19 08:45
BUY,1.14333,1.1451,0.01,1.14244,1.1451,0.0,TP,0.7,8,2026-06-19 09:00,2026-06-19 11:00
SELL,1.1457,1.14581,0.01,1.1467,1.1441,-0.0,END,0.6101,8,2026-06-19 11:15,2026-06-19 13:15
